Source,Target,Type,Weight,Relationship
249,72,directed,1,[r:RETWEETS]
123,250,directed,1,[m:MENTIONS]
123,250,directed,1,[r:RETWEETS]
251,8,directed,1,[m:MENTIONS]
251,65,directed,1,[m:MENTIONS]
251,8,directed,1,[r:RETWEETS]
252,18,directed,1,[m:MENTIONS]
252,18,directed,1,[r:RETWEETS]
253,4,directed,1,[m:MENTIONS]
253,4,directed,1,[q:QUOTES]
253,4,directed,1,[r:RETWEETS]
200,14,directed,1,[m:MENTIONS]
200,14,directed,1,[r:RETWEETS]
233,254,directed,1,[m:MENTIONS]
233,254,directed,1,[r:RETWEETS]
56,200,directed,1,[m:MENTIONS]
56,200,directed,1,[r:RETWEETS]
255,117,directed,1,[m:MENTIONS]
255,117,directed,1,[r:RETWEETS]
256,54,directed,1,[m:MENTIONS]
256,54,directed,1,[r:RETWEETS]
257,258,directed,1,[m:MENTIONS]
257,110,directed,1,[q:QUOTES]
257,258,directed,1,[r:RETWEETS]
258,110,directed,1,[q:QUOTES]
259,260,directed,1,[m:MENTIONS]
259,261,directed,1,[m:MENTIONS]
123,262,directed,1,[m:MENTIONS]
123,110,directed,1,[m:MENTIONS]
123,262,directed,1,[r:RETWEETS]
262,110,directed,1,[m:MENTIONS]
263,139,directed,1,[m:MENTIONS]
263,6,directed,1,[m:MENTIONS]
263,264,directed,1,[m:MENTIONS]
263,139,directed,1,[r:RETWEETS]
139,6,directed,1,[m:MENTIONS]
139,264,directed,1,[m:MENTIONS]
265,72,directed,1,[m:MENTIONS]
265,72,directed,1,[r:RETWEETS]
95,35,directed,1,[m:MENTIONS]
95,35,directed,1,[r:RETWEETS]
200,266,directed,1,[m:MENTIONS]
267,14,directed,1,[m:MENTIONS]
267,14,directed,1,[r:RETWEETS]
196,200,directed,1,[m:MENTIONS]
196,238,directed,1,[m:MENTIONS]
196,239,directed,1,[m:MENTIONS]
196,200,directed,1,[r:RETWEETS]
189,268,directed,1,[m:MENTIONS]
189,269,directed,1,[m:MENTIONS]
270,271,directed,1,[m:MENTIONS]
270,208,directed,1,[m:MENTIONS]
270,272,directed,1,[m:MENTIONS]
270,6,directed,1,[m:MENTIONS]
270,271,directed,1,[r:RETWEETS]
271,208,directed,1,[m:MENTIONS]
271,272,directed,1,[m:MENTIONS]
271,6,directed,1,[m:MENTIONS]
273,29,directed,1,[m:MENTIONS]
273,29,directed,1,[r:RETWEETS]
200,274,directed,1,[m:MENTIONS]
200,274,directed,1,[r:RETWEETS]
275,56,directed,1,[m:MENTIONS]
275,56,directed,1,[r:RETWEETS]
270,12,directed,1,[m:MENTIONS]
270,12,directed,1,[r:RETWEETS]
12,208,directed,1,[m:MENTIONS]
12,6,directed,1,[m:MENTIONS]
218,107,directed,1,[m:MENTIONS]
218,107,directed,1,[r:RETWEETS]
246,136,directed,1,[m:MENTIONS]
246,136,directed,1,[r:RETWEETS]
276,18,directed,1,[m:MENTIONS]
276,18,directed,1,[r:RETWEETS]
277,6,directed,1,[m:MENTIONS]
277,6,directed,1,[r:RETWEETS]
200,154,directed,1,[m:MENTIONS]
200,154,directed,1,[r:RETWEETS]
224,278,directed,1,[m:MENTIONS]
224,278,directed,1,[r:RETWEETS]
279,72,directed,1,[m:MENTIONS]
279,72,directed,1,[r:RETWEETS]
280,6,directed,1,[m:MENTIONS]
280,6,directed,1,[r:RETWEETS]
200,281,directed,1,[m:MENTIONS]
224,278,directed,1,[q:QUOTES]
282,283,directed,1,[m:MENTIONS]
282,283,directed,1,[r:RETWEETS]
283,49,directed,1,[m:MENTIONS]
284,6,directed,1,[m:MENTIONS]
284,6,directed,1,[r:RETWEETS]
285,6,directed,1,[m:MENTIONS]
285,286,directed,1,[m:MENTIONS]
285,107,directed,1,[m:MENTIONS]
287,117,directed,1,[m:MENTIONS]
287,117,directed,1,[r:RETWEETS]
267,288,directed,1,[m:MENTIONS]
267,288,directed,1,[r:RETWEETS]
289,274,directed,1,[m:MENTIONS]
289,274,directed,1,[r:RETWEETS]
51,285,directed,1,[m:MENTIONS]
51,285,directed,1,[r:RETWEETS]
285,290,directed,1,[m:MENTIONS]
25,291,directed,1,[m:MENTIONS]
200,224,directed,1,[m:MENTIONS]
200,278,directed,1,[q:QUOTES]
200,224,directed,1,[r:RETWEETS]
285,274,directed,1,[m:MENTIONS]
285,274,directed,1,[r:RETWEETS]
218,41,directed,1,[m:MENTIONS]
218,40,directed,1,[m:MENTIONS]
218,41,directed,1,[r:RETWEETS]
289,12,directed,1,[m:MENTIONS]
289,12,directed,1,[r:RETWEETS]
51,292,directed,1,[m:MENTIONS]
51,292,directed,1,[r:RETWEETS]
267,293,directed,1,[m:MENTIONS]
267,293,directed,1,[r:RETWEETS]
294,295,directed,1,[m:MENTIONS]
294,295,directed,1,[r:RETWEETS]
200,41,directed,1,[m:MENTIONS]
200,267,directed,1,[m:MENTIONS]
255,35,directed,1,[m:MENTIONS]
255,35,directed,1,[r:RETWEETS]
267,296,directed,1,[m:MENTIONS]
267,296,directed,1,[r:RETWEETS]
297,298,directed,1,[m:MENTIONS]
297,299,directed,1,[m:MENTIONS]
297,300,directed,1,[m:MENTIONS]
297,301,directed,1,[m:MENTIONS]
297,32,directed,1,[m:MENTIONS]
297,203,directed,1,[q:QUOTES]
203,302,directed,1,[m:MENTIONS]
203,303,directed,1,[m:MENTIONS]
203,6,directed,1,[m:MENTIONS]
304,6,directed,1,[m:MENTIONS]
304,6,directed,1,[r:RETWEETS]
305,306,directed,1,[m:MENTIONS]
305,6,directed,1,[m:MENTIONS]
307,18,directed,1,[m:MENTIONS]
307,18,directed,1,[r:RETWEETS]
308,6,directed,1,[q:QUOTES]
309,6,directed,1,[m:MENTIONS]
200,310,directed,1,[m:MENTIONS]
224,241,directed,1,[m:MENTIONS]
224,241,directed,1,[r:RETWEETS]
311,312,directed,1,[m:MENTIONS]
311,312,directed,1,[r:RETWEETS]
205,200,directed,1,[m:MENTIONS]
205,196,directed,1,[m:MENTIONS]
205,200,directed,1,[r:RETWEETS]
313,9,directed,1,[m:MENTIONS]
51,72,directed,1,[m:MENTIONS]
267,200,directed,1,[m:MENTIONS]
267,41,directed,1,[m:MENTIONS]
267,200,directed,1,[r:RETWEETS]
13,314,directed,1,[m:MENTIONS]
