Source,Target,Type,Weight
984,14287,directed,1
985,14287,directed,1
986,14287,directed,1
987,14287,directed,1
988,14287,directed,1
989,14287,directed,1
990,14287,directed,1
991,14288,directed,1
992,14288,directed,1
354,14288,directed,1
356,14289,directed,1
993,14290,directed,1
994,14290,directed,1
995,14290,directed,1
996,14290,directed,1
997,14290,directed,1
998,14290,directed,1
999,14290,directed,1
1000,14290,directed,1
1001,14291,directed,1
1002,14291,directed,1
1003,14291,directed,1
1004,14292,directed,1
1005,14292,directed,1
1006,14292,directed,1
1007,14292,directed,1
1008,14292,directed,1
1009,14292,directed,1
1010,14292,directed,1
1011,14292,directed,1
1012,14292,directed,1
1013,14293,directed,1
1014,14293,directed,1
1015,14293,directed,1
1016,14293,directed,1
1017,14293,directed,1
1018,14293,directed,1
1019,14293,directed,1
1020,14294,directed,1
1021,14294,directed,1
1022,14294,directed,1
1023,14294,directed,1
1024,14294,directed,1
1025,14294,directed,1
1026,14294,directed,1
1027,14294,directed,1
1028,14294,directed,1
1029,14294,directed,1
1030,14294,directed,1
1031,14294,directed,1
1032,14294,directed,1
1033,14294,directed,1
1034,14294,directed,1
1035,14294,directed,1
1036,14294,directed,1
1037,14294,directed,1
1038,14294,directed,1
1039,14294,directed,1
1040,14294,directed,1
1041,14294,directed,1
1042,14294,directed,1
1043,14294,directed,1
1044,14294,directed,1
1045,14294,directed,1
1046,14295,directed,1
1047,14295,directed,1
1048,14295,directed,1
1049,14295,directed,1
1050,14295,directed,1
1051,14295,directed,1
1052,14295,directed,1
1053,14295,directed,1
1054,14296,directed,1
1055,14296,directed,1
1056,14296,directed,1
1057,14296,directed,1
1058,14296,directed,1
1059,14297,directed,1
386,14297,directed,1
387,14297,directed,1
388,14297,directed,1
389,14298,directed,1
1060,14298,directed,1
1061,14298,directed,1
1062,14298,directed,1
1063,14298,directed,1
1064,14298,directed,1
1065,14298,directed,1
1066,14298,directed,1
1067,14298,directed,1
1068,14298,directed,1
1069,14298,directed,1
1070,14299,directed,1
1071,14299,directed,1
1072,14299,directed,1
1073,14299,directed,1
1074,14299,directed,1
1075,14299,directed,1
1076,14299,directed,1
1077,14299,directed,1
1078,14299,directed,1
1079,14299,directed,1
1080,14299,directed,1
1081,14299,directed,1
1082,14299,directed,1
1083,14299,directed,1
1084,14299,directed,1
1085,14299,directed,1
1086,14299,directed,1
1087,14299,directed,1
1088,14299,directed,1
1089,14299,directed,1
